Disease,Title,Journal,Year,PMID
s Disease Vary According to Disease,Gut Microbial Signatures in Pediatric Crohn's Disease Vary According to Disease Activity Measures and Are Influenced by Proxies of Gastrointestinal Transit Time: An ImageKids Study.,Inflammatory bowel diseases,2024,39419819
Corticosteroid Use in Randomized Clinical Trials of Biologics and Small Molecules in Inflammatory Bowel Disease,Corticosteroid Use in Randomized Clinical Trials of Biologics and Small Molecules in Inflammatory Bowel Disease: A Systematic Review.,Inflammatory bowel diseases,2024,39419764
drug development and disease,Enhancing CNS mitophagy: drug development and disease-relevant models.,Trends in pharmacological sciences,2024,39419743
Postoperative pulmonary complications in patients with chronic obstructive pulmonary disease,Postoperative pulmonary complications in patients with chronic obstructive pulmonary disease undergoing primary laparoscopic bariatric surgery: an MBSAQIP analysis.,Surgery for obesity and related diseases : official journal of the American Society for Bariatric Surgery,2024,39419715
s disease,Mediating role of obstructive sleep apnea in altering slow-wave activity and elevating Alzheimer's disease risk: Pilot study from a northern Taiwan cohort.,Sleep health,2024,39419711
and cardiovascular disease,Pregnancy-associated plasma protein-A (PAPP-A) and cardiovascular disease.,Growth hormone & IGF research : official journal of the Growth Hormone Research Society and the International IGF Research Society,2024,39419664
A comprehensive description of a rare disease,Mesenteric panniculitis: A comprehensive description of a rare disease.,Medicina clinica,2024,39419658
exacerbated respiratory disease,"Critical pathomechanisms of NSAID-exacerbated respiratory disease (N-ERD) clarified by treatment with omalizumab, an anti-IgE antibody.",Allergology international : official journal of the Japanese Society of Allergology,2024,39419650
s disease,Application of multimodal deep learning and multi-instance learning fusion techniques in predicting STN-DBS outcomes for Parkinson's disease patients.,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,2024,39419638
oesophageal reflux disease,Acupoint catgut embedding advantage in treating gastro-oesophageal reflux disease (ACE-GERD): study protocol for a randomised controlled trial.,BMJ open,2024,39419622
Understanding external carotid artery collateralisation after cerebral revascularisation in moyamoya disease,Understanding external carotid artery collateralisation after cerebral revascularisation in moyamoya disease: insights from quantitative analysis.,Stroke and vascular neurology,2024,39419607
implications for disease,Circadian de(regulation) in physiology: implications for disease and treatment.,Genes & development,2024,39419580
s disease,Delineating the neural substrates of autobiographical memory impairment in Huntington's disease.,The European journal of neuroscience,2024,39419578
findings from the Occupational Disease,"Risk of opioid-related harms by occupation within a large cohort of formerly injured workers in Ontario, Canada: findings from the Occupational Disease Surveillance System.",Occupational and environmental medicine,2024,39419540
Neuroimaging Correlates with Clinical Severity in Wilson Disease,Neuroimaging Correlates with Clinical Severity in Wilson Disease: A Multiparametric Quantitative Brain MRI.,AJNR. American journal of neuroradiology,2024,39419533
s disease,Chronic pain-induced methylation in the prefrontal cortex targets gene networks associated with cognition and Alzheimer's disease.,Neuroscience,2024,39419469
s Disease,Multiomics Reveals Biological Mechanisms Linking Macroscale Structural Covariance Network Dysfunction With Neuropsychiatric Symptoms Across the Alzheimer's Disease Continuum.,Biological psychiatry,2024,39419461
s disease,Early intervention using long-term rhythmic pulsed magnetic stimulation alleviates cognitive decline in a 5xFAD mouse model of Alzheimer's disease.,Experimental neurology,2024,39419435
related neuropathy in the mouse model of ALS disease,Potential role of solid lipid curcumin particle (SLCP) as estrogen replacement therapy in mitigating TDP-43-related neuropathy in the mouse model of ALS disease.,Experimental neurology,2024,39419433
s disease,Exploring complexities of Alzheimer's disease: New insights into molecular and cellular mechanisms of neurodegeneration and targeted therapeutic interventions.,Ageing research reviews,2024,39419399
s disease,Ameliorative effects of Akkermansia muciniphila on anxiety-like behavior and cognitive deficits in a rat model of Alzheimer's disease.,Brain research,2024,39419309
Association between acute tobacco exposure and fractional exhaled nitric oxide in patients with chronic obstructive pulmonary disease,Association between acute tobacco exposure and fractional exhaled nitric oxide in patients with chronic obstructive pulmonary disease: National health and Nutrition Examination Survey (NHANES) 2007-2012.,Respiratory medicine,2024,39419295
activities in coronary artery disease,Bioactive lipids improve serum HDL and PON1 activities in coronary artery disease patients: Ex-vivo study.,Vascular pharmacology,2024,39419293
Disparities in tobacco smoking and risk of cardiovascular disease,Disparities in tobacco smoking and risk of cardiovascular disease in people with low socioeconomic status or serious psychological distress: A simulation analysis.,American journal of preventive medicine,2024,39419234
associated steatotic liver disease,"Comment on ""Frailty and risk of metabolic dysfunction-associated steatotic liver disease and other chronic liver diseases"".",Journal of hepatology,2024,39419181
Could the paediatric acute hepatitis of unknown origin be related to a new autoimmune disease,Could the paediatric acute hepatitis of unknown origin be related to a new autoimmune disease?,Journal of hepatology,2024,39419180
Herbal drugs in chronic venous disease,Herbal drugs in chronic venous disease treatment: An update.,Fitoterapia,2024,39419127
s disease,Apolipoprotein E aggregation in microglia initiates Alzheimer's disease pathology by seeding β-amyloidosis.,Immunity,2024,39419029
BLED scale for the assessment of bleeding risk in patients on anticoagulation therapy with a diagnosis of venous thromboembolic disease,Validation of the HAS-BLED scale for the assessment of bleeding risk in patients on anticoagulation therapy with a diagnosis of venous thromboembolic disease.,Revista de investigacion clinica; organo del Hospital de Enfermedades de la Nutricion,2024,39419020
Empagliflozin attenuating renal interstitial fibrosis in diabetic kidney disease,Empagliflozin attenuating renal interstitial fibrosis in diabetic kidney disease by inhibiting lymphangiogenesis and lymphatic endothelial-to-mesenchymal transition via the VEGF-C/VEGFR3 pathway.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2024,39418962
s disease,A prediction model for the walking and balance milestone in Parkinson's disease.,Parkinsonism & related disorders,2024,39418859
s disease,Exploring the Nicotine-Parkinson's disease link - Insights from the UK Biobank.,Parkinsonism & related disorders,2024,39418858
based cognitive therapy for fatigue in patients with inflammatory bowel disease,Long-term treatment outcomes of mindfulness-based cognitive therapy for fatigue in patients with inflammatory bowel disease: Results of a randomized controlled trial.,Journal of psychosomatic research,2024,39418854
Qualitative adaptations towards chronic disease,Indigenous knowledge and sugar sweetened beverages: Qualitative adaptations towards chronic disease prevention and intervention.,"Explore (New York, N.Y.)",2024,39418823
Pompe disease,Pompe disease: Unmet needs and emerging therapies.,Molecular genetics and metabolism,2024,39418752
Associated Liver Disease,Multiomics Studies on Metabolism Changes in Alcohol-Associated Liver Disease.,Journal of proteome research,2024,39418671
A NEW TREATMENT OUTCOME AND NATURAL HISTORY REGISTRY FOR INHERITED RETINAL DISEASE,THE FIGHT INHERITED RETINAL BLINDNESS! PROJECT: A NEW TREATMENT OUTCOME AND NATURAL HISTORY REGISTRY FOR INHERITED RETINAL DISEASE.,"Retina (Philadelphia, Pa.)",2024,39418576
s disease,Fractional CO<sub>2</sub> laser for the treatment of Peyronie's disease: A pilot clinical trial.,Canadian Urological Association journal = Journal de l'Association des urologues du Canada,2024,39418492
s Disease,Low Anti-Tumor Necrosis Factor Levels During Maintenance Phase Are Associated With Treatment Failure in Children With Crohn's Disease.,Inflammatory bowel diseases,2024,39418336
associated interstitial lung disease,FAM13A polymorphism is associated with a usual interstitial pneumonia pattern in patients with systemic sclerosis-associated interstitial lung disease.,"Rheumatology (Oxford, England)",2024,39418199
associated interstitial lung disease,Deep-learning CT imaging algorithm to detect usual interstitial pneumonia pattern in patients with systemic sclerosis-associated interstitial lung disease: association with disease progression and survival.,"Rheumatology (Oxford, England)",2024,39418195
association with disease,Deep-learning CT imaging algorithm to detect usual interstitial pneumonia pattern in patients with systemic sclerosis-associated interstitial lung disease: association with disease progression and survival.,"Rheumatology (Oxford, England)",2024,39418195
Pediatric Diffuse Lung Disease,Pediatric Diffuse Lung Disease in Infants: Imaging Findings and Histopathologic Correlation.,"Radiographics : a review publication of the Radiological Society of North America, Inc",2024,39418186
associated Steatotic Liver Disease,Invited Commentary: Radiology at the Forefront in the Fight against Metabolic Dysfunction-associated Steatotic Liver Disease.,"Radiographics : a review publication of the Radiological Society of North America, Inc",2024,39418185
